timestamp,metric,value,predicted,free_energy,precision,feeling,time_dilation
1769098775544,context_switches,0.0,5.0e3,12493750.0,0.9995,overwhelmed,1.01
1769098775544,tick_jitter,1.0,0.0,1.8182,0.9091,overwhelmed,1.01
1769098775544,load_avg_1m,3.62,0.5,1.622724,0.1667,overwhelmed,1.01
1769098775544,page_faults,0.0,100.0,14706.0,0.9804,overwhelmed,1.01
1769098775544,rss_mb,244.160156,500.0,65126.755522,0.995,overwhelmed,1.01
1769098775646,context_switches,41442.307692,5.0e3,0.0,0.0,overwhelmed,1.04
1769098775646,tick_jitter,4.0,0.0,22.0704,0.6897,overwhelmed,1.04
1769098775646,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.04
1769098775646,page_faults,355.769231,100.0,78.501479,0.0008,overwhelmed,1.04
1769098775646,rss_mb,244.285156,500.0,65390.081314,1.0,overwhelmed,1.04
1769098775747,context_switches,47333.333333,5.0e3,0.0,0.0,overwhelmed,1.02
1769098775747,tick_jitter,2.0,0.0,6.4864,0.8108,overwhelmed,1.02
1769098775747,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.02
1769098775747,page_faults,98.039216,100.0,0.008651,0.0015,overwhelmed,1.02
1769098775747,rss_mb,244.285156,500.0,65390.081314,1.0,overwhelmed,1.02
1769098775848,context_switches,43732.673267,5.0e3,0.0,0.0,overwhelmed,1.01
1769098775848,tick_jitter,1.0,0.0,1.6666,0.8333,overwhelmed,1.01
1769098775848,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098775848,page_faults,99.009901,100.0,0.003235,0.0022,overwhelmed,1.01
1769098775848,rss_mb,244.285156,500.0,65390.081314,1.0,overwhelmed,1.01
1769098775949,context_switches,96772.277228,5.0e3,0.0,0.0,overwhelmed,1.01
1769098775949,tick_jitter,1.0,0.0,1.7094,0.8547,overwhelmed,1.01
1769098775949,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098775949,page_faults,99.009901,100.0,0.004117,0.0028,overwhelmed,1.01
1769098775949,rss_mb,244.285156,500.0,65390.081314,1.0,overwhelmed,1.01
1769098776050,context_switches,59415.841584,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776050,tick_jitter,1.0,0.0,1.7442,0.8721,overwhelmed,1.01
1769098776050,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776050,page_faults,59.405941,100.0,8.156994,0.0033,overwhelmed,1.01
1769098776050,rss_mb,240.777344,500.0,66524.421658,0.99,overwhelmed,1.01
1769098776151,context_switches,45544.554455,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776151,tick_jitter,1.0,0.0,1.7722,0.8861,overwhelmed,1.01
1769098776151,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776151,page_faults,29.70297,100.0,27.426282,0.0037,overwhelmed,1.01
1769098776151,rss_mb,240.777344,500.0,66242.196839,0.9858,overwhelmed,1.01
1769098776252,context_switches,53069.306931,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776252,tick_jitter,1.0,0.0,1.7948,0.8974,overwhelmed,1.01
1769098776252,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776252,page_faults,19.80198,100.0,38.590334,0.004,overwhelmed,1.01
1769098776252,rss_mb,240.777344,500.0,66121.243345,0.984,overwhelmed,1.01
1769098776353,context_switches,47138.613861,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776353,tick_jitter,1.0,0.0,1.8136,0.9068,overwhelmed,1.01
1769098776353,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776353,page_faults,19.80198,100.0,41.484609,0.0043,overwhelmed,1.01
1769098776353,rss_mb,240.777344,500.0,66080.925514,0.9834,overwhelmed,1.01
1769098776454,context_switches,60029.70297,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776454,tick_jitter,1.0,0.0,1.8292,0.9146,overwhelmed,1.01
1769098776454,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776454,page_faults,217.821782,100.0,85.37413,0.0041,overwhelmed,1.01
1769098776454,rss_mb,240.902344,500.0,66037.350468,0.9837,overwhelmed,1.01
1769098776555,context_switches,60534.653465,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776555,tick_jitter,1.0,0.0,1.8426,0.9213,overwhelmed,1.01
1769098776555,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776555,page_faults,613.861386,100.0,554.512401,0.0014,overwhelmed,1.01
1769098776555,rss_mb,241.027344,500.0,66013.887349,0.9843,overwhelmed,1.01
1769098776656,context_switches,94267.326733,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776656,tick_jitter,1.0,0.0,1.854,0.927,overwhelmed,1.01
1769098776656,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776656,page_faults,19.80198,100.0,14.471375,0.0015,overwhelmed,1.01
1769098776656,rss_mb,241.027344,500.0,66054.127451,0.9849,overwhelmed,1.01
1769098776757,context_switches,126653.465347,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776757,tick_jitter,1.0,0.0,1.8638,0.9319,overwhelmed,1.01
1769098776757,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776757,page_faults,19.80198,100.0,15.436134,0.0016,overwhelmed,1.01
1769098776757,rss_mb,241.027344,500.0,66101.074237,0.9856,overwhelmed,1.01
1769098776858,context_switches,69950.49505,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776858,tick_jitter,1.0,0.0,1.8724,0.9362,overwhelmed,1.01
1769098776858,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776858,page_faults,0.0,100.0,25.5,0.0017,overwhelmed,1.01
1769098776858,rss_mb,241.027344,500.0,66141.314339,0.9862,overwhelmed,1.01
1769098776959,context_switches,61871.287129,5.0e3,0.0,0.0,overwhelmed,1.01
1769098776959,tick_jitter,1.0,0.0,1.88,0.94,overwhelmed,1.01
1769098776959,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098776959,page_faults,0.0,100.0,25.5,0.0017,overwhelmed,1.01
1769098776959,rss_mb,241.027344,500.0,66181.554441,0.9868,overwhelmed,1.01
1769098777060,context_switches,64247.524752,5.0e3,0.0,0.0,overwhelmed,1.01
1769098777060,tick_jitter,1.0,0.0,1.8868,0.9434,overwhelmed,1.01
1769098777060,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098777060,page_faults,0.0,100.0,27.0,0.0018,overwhelmed,1.01
1769098777060,rss_mb,234.304688,500.0,68462.060312,0.9698,overwhelmed,1.01
1769098777161,context_switches,29712.871287,5.0e3,0.0,0.0,overwhelmed,1.01
1769098777161,tick_jitter,1.0,0.0,1.8928,0.9464,overwhelmed,1.01
1769098777161,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098777161,page_faults,0.0,100.0,28.5,0.0019,overwhelmed,1.01
1769098777161,rss_mb,234.304688,500.0,67579.635324,0.9573,overwhelmed,1.01
1769098777262,context_switches,25495.049505,5.0e3,0.0,0.0,overwhelmed,1.01
1769098777262,tick_jitter,1.0,0.0,1.8982,0.9491,overwhelmed,1.01
1769098777262,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098777262,page_faults,0.0,100.0,30.0,0.002,overwhelmed,1.01
1769098777262,rss_mb,234.304688,500.0,66923.111132,0.948,overwhelmed,1.01
1769098777363,context_switches,35544.554455,5.0e3,0.0,0.0,overwhelmed,1.01
1769098777363,tick_jitter,1.0,0.0,1.9032,0.9516,overwhelmed,1.01
1769098777363,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098777363,page_faults,0.0,100.0,30.0,0.002,overwhelmed,1.01
1769098777363,rss_mb,234.304688,500.0,66428.953138,0.941,overwhelmed,1.01
1769098777469,context_switches,61287.128713,5.0e3,0.0,0.0,overwhelmed,1.01
1769098777469,tick_jitter,1.0,0.0,1.9076,0.9538,overwhelmed,1.01
1769098777469,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098777469,page_faults,188.118812,100.0,24.459514,0.0021,overwhelmed,1.01
1769098777469,rss_mb,234.304688,500.0,66054.804943,0.9357,overwhelmed,1.01
1769098777570,context_switches,63339.622642,5.0e3,0.0,0.0,overwhelmed,1.06
1769098777570,tick_jitter,6.0,0.0,62.3016,0.8653,overwhelmed,1.06
1769098777570,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.06
1769098777570,page_faults,273.584906,100.0,94.914916,0.0021,overwhelmed,1.06
1769098777570,rss_mb,234.304688,500.0,65772.428947,0.9317,overwhelmed,1.06
1769098777671,context_switches,45603.960396,5.0e3,0.0,0.0,overwhelmed,1.01
1769098777671,tick_jitter,1.0,0.0,1.7404,0.8702,overwhelmed,1.01
1769098777671,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098777671,page_faults,0.0,100.0,31.5,0.0021,overwhelmed,1.01
1769098777671,rss_mb,234.304688,500.0,65560.64695,0.9287,overwhelmed,1.01
1769098777772,context_switches,63613.861386,5.0e3,0.0,0.0,overwhelmed,1.01
1769098777772,tick_jitter,1.0,0.0,1.7496,0.8748,overwhelmed,1.01
1769098777772,load_avg_1m,3.62,0.5,9.685728,0.995,overwhelmed,1.01
1769098777772,page_faults,712.871287,100.0,732.441868,0.0013,overwhelmed,1.01
